state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
,NaN,,,,,,,,
Arizona,F,Bachelor,323912.0,16061.0,88.0,0.0,Personal Auto,Four-Door Car,633.6
California,F,Master,462680.0,79487.0,114.0,0.0,Special Auto,SUV,547.2
California,F,College,899704.0,54230.0,112.0,0.0,Personal Auto,Two-Door Car,537.6
Oregon,F,College,2580706.0,71210.0,214.0,1.0,Personal Auto,Luxury Car,1027.2
Arizona,F,College,380812.0,94903.0,94.0,0.0,Corporate Auto,Two-Door Car,451.2
Arizona,M,Bachelor,761413.0,27293.0,96.0,0.0,Personal Auto,Two-Door Car,469.030907
California,F,Master,689845.0,70950.0,171.0,0.0,Personal Auto,Sports Car,565.929394
Oregon,M,College,229837.0,0.0,63.0,0.0,Corporate Auto,Four-Door Car,302.4
Oregon,F,Doctor,280669.0,37009.0,71.0,0.0,Corporate Auto,Two-Door Car,145.673348
Nevada,M,College,520611.0,52629.0,65.0,0.0,Personal Auto,Four-Door Car,136.684141
California,F,Bachelor,4570865.0,31264.0,198.0,1.0,Personal Auto,Luxury SUV,825.657746
Oregon,F,College,800734.0,65473.0,67.0,0.0,Personal Auto,Four-Door Car,277.685667
Washington,F,Bachelors,548254.0,79325.0,68.0,0.0,Corporate Auto,Four-Door Car,251.294821
Oregon,M,High School or Below,246323.0,99144.0,61.0,0.0,Corporate Auto,Four-Door Car,292.8
California,M,College,549894.0,22520.0,73.0,0.0,Corporate Auto,Four-Door Car,350.4
Arizona,F,Bachelor,524382.0,36615.0,65.0,0.0,Special Auto,Four-Door Car,264.563772
Washington,F,Bachelors,328045.0,63297.0,82.0,0.0,Personal Auto,Four-Door Car,251.756739
Arizona,F,High School or Below,488654.0,76374.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
Washington,F,Bachelors,512348.0,72096.0,6464.0,0.0,Personal Auto,Two-Door Car,252.330905
Nevada,M,Master,547955.0,56005.0,68.0,1.0,Personal Auto,Four-Door Car,326.4
Washington,F,Master,476215.0,36529.0,118.0,0.0,Personal Auto,SUV,255.005116
Oregon,F,Bachelor,828767.0,81367.0,103.0,0.0,Special Auto,SUV,415.768941
California,F,Bachelor,988665.0,44817.0,83.0,0.0,Personal Auto,Four-Door Car,527.421579
Oregon,F,High School or Below,271291.0,58508.0,69.0,0.0,Personal Auto,Two-Door Car,57.614392
Oregon,M,Bachelor,1047767.0,45259.0,138.0,0.0,Personal Auto,SUV,272.217171
California,M,Doctor,343613.0,30817.0,88.0,0.0,Personal Auto,Four-Door Car,91.834668
Oregon,F,High School or Below,259618.0,0.0,72.0,0.0,Personal Auto,Two-Door Car,345.6
California,M,Doctor,1273195.0,40870.0,105.0,0.0,Personal Auto,SUV,504.0
Nevada,M,High School or Below,349414.0,35001.0,96.0,3.0,Personal Auto,Four-Door Car,460.8
Arizona,F,College,759791.0,49937.0,64.0,0.0,Personal Auto,Two-Door Car,302.586407
Oregon,F,Bachelor,401521.0,0.0,109.0,0.0,Personal Auto,Four-Door Car,523.2
California,F,College,2047710.0,58317.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
California,F,High School or Below,816068.0,0.0,109.0,0.0,Personal Auto,SUV,523.2
Nevada,M,High School or Below,1229868.0,17101.0,113.0,0.0,Corporate Auto,SUV,542.4
California,F,College,871492.0,0.0,118.0,0.0,Corporate Auto,SUV,566.4
Arizona,F,Bachelor,485353.0,0.0,65.0,0.0,Personal Auto,Four-Door Car,468.0
Oregon,M,High School or Below,488094.0,24398.0,63.0,1.0,Personal Auto,Four-Door Car,302.4
Oregon,M,College,231138.0,24641.0,61.0,0.0,Corporate Auto,Four-Door Car,294.92773
Arizona,M,High School or Below,432709.0,69040.0,108.0,0.0,Corporate Auto,Sports Car,518.4
Oregon,M,High School or Below,1229868.0,17101.0,113.0,0.0,Personal Auto,SUV,542.4
California,F,High School or Below,832353.0,59886.0,104.0,0.0,Personal Auto,Sports Car,71.729298
Oregon,F,Bachelor,1017971.0,14290.0,271.0,0.0,Personal Auto,Luxury SUV,1300.8
California,F,College,776126.0,43137.0,96.0,0.0,Personal Auto,Two-Door Car,460.8
Oregon,M,College,523989.0,27978.0,69.0,1.0,Personal Auto,Four-Door Car,447.911255
California,F,Bachelor,451790.0,25261.0,118.0,0.0,Personal Auto,SUV,566.4
Nevada,M,College,238977.0,58652.0,64.0,5.0,Personal Auto,Four-Door Car,307.2
Nevada,F,College,413062.0,28321.0,111.0,0.0,Corporate Auto,SUV,537.391704
Washington,F,College,269156.0,77411.0,67.0,0.0,Personal Auto,Four-Door Car,257.900458
Oregon,M,College,522776.0,0.0,72.0,0.0,Corporate Auto,Four-Door Car,518.4
California,F,Bachelor,618734.0,0.0,88.0,0.0,Personal Auto,Four-Door Car,633.6
Arizona,M,College,511387.0,94415.0,127.0,1.0,Personal Auto,Sports Car,492.770321
Oregon,M,High School or Below,1103931.0,0.0,103.0,0.0,Special Auto,SUV,1149.203884
Arizona,F,Bachelor,3222708.0,45331.0,100.0,0.0,Personal Auto,SUV,572.635987
Arizona,M,High School or Below,261196.0,53904.0,67.0,2.0,Personal Auto,Four-Door Car,321.6
California,M,High School or Below,1337232.0,0.0,74.0,0.0,Personal Auto,Four-Door Car,811.086484
Arizona,M,Bachelor,483898.0,0.0,70.0,2.0,Special Auto,Four-Door Car,336.0
Oregon,M,High School or Below,472165.0,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4
Oregon,M,College,387364.0,28142.0,105.0,0.0,Corporate Auto,Sports Car,701.708239
Washington,M,Master,471855.0,15680.0,6464.0,0.0,Personal Auto,Four-Door Car,260.879903
Oregon,M,Bachelor,1697979.0,35095.0,73.0,0.0,Personal Auto,Two-Door Car,525.6
Oregon,F,College,1368171.0,55588.0,114.0,0.0,Personal Auto,SUV,547.2
Arizona,F,Master,571722.0,52391.0,71.0,0.0,Personal Auto,Two-Door Car,409.763267
Oregon,F,Bachelor,948659.0,42240.0,79.0,0.0,Personal Auto,Four-Door Car,46.386546
Oregon,F,Bachelor,383914.0,70146.0,96.0,0.0,Personal Auto,Four-Door Car,157.440069
Oregon,F,College,1121159.0,41121.0,94.0,0.0,Personal Auto,Four-Door Car,451.2
Oregon,F,College,2580706.0,71210.0,214.0,1.0,Corporate Auto,Luxury Car,1027.2
Oregon,M,Bachelor,379832.0,0.0,107.0,1.0,Corporate Auto,Two-Door Car,1261.943541
Nevada,F,High School or Below,281656.0,41228.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
Washington,M,Bachelors,502929.0,40113.0,67.0,3.0,Corporate Auto,Two-Door Car,262.047663
Oregon,F,College,344496.0,0.0,91.0,0.0,Special Auto,Four-Door Car,596.050118
California,F,Bachelor,285940.0,51790.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
California,M,High School or Below,269205.0,92593.0,68.0,0.0,Corporate Auto,Four-Door Car,8.44322
California,M,High School or Below,1143173.0,28657.0,100.0,0.0,Personal Auto,SUV,588.742251
Oregon,M,High School or Below,763588.0,30262.0,98.0,1.0,Personal Auto,Four-Door Car,499.22561
Oregon,F,Master,980582.0,47197.0,81.0,0.0,Corporate Auto,Four-Door Car,76.112618
California,F,Bachelor,680361.0,0.0,94.0,0.0,Personal Auto,Four-Door Car,451.2
Oregon,F,Bachelor,710765.0,0.0,61.0,0.0,Personal Auto,Four-Door Car,541.561209
Oregon,F,High School or Below,473518.0,0.0,134.0,0.0,Personal Auto,SUV,964.8
Arizona,M,College,687432.0,22093.0,87.0,0.0,Corporate Auto,Two-Door Car,616.749885
Arizona,M,College,241125.0,54483.0,61.0,0.0,Personal Auto,Two-Door Car,292.8
Arizona,F,College,241654.0,18944.0,63.0,0.0,Personal Auto,Four-Door Car,125.274351
Oregon,F,Bachelor,2398154.0,84365.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
Arizona,M,College,469216.0,0.0,64.0,0.0,Personal Auto,Four-Door Car,137.169296
California,F,High School or Below,360093.0,25147.0,101.0,0.0,Corporate Auto,SUV,694.598288
Nevada,M,High School or Below,266522.0,14315.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
Arizona,F,Master,766652.0,87864.0,94.0,0.0,Personal Auto,Two-Door Car,421.456547
California,M,High School or Below,1667589.0,57844.0,85.0,1.0,Personal Auto,Four-Door Car,408.0
Oregon,F,High School or Below,455085.0,17913.0,116.0,0.0,Personal Auto,Four-Door Car,556.8
Arizona,F,High School or Below,1176393.0,28806.0,99.0,0.0,Special Auto,Four-Door Car,475.2
California,M,High School or Below,1374253.0,90343.0,175.0,0.0,Personal Auto,SUV,833.072722
Oregon,F,Master,1613841.0,79041.0,199.0,0.0,Personal Auto,Luxury SUV,419.26062
Washington,M,Bachelor,729858.0,74069.0,63.0,2.0,Personal Auto,Two-Door Car,275.516438
California,M,College,667373.0,85019.0,167.0,0.0,Personal Auto,Sports Car,801.6
California,F,High School or Below,778212.0,70059.0,194.0,0.0,Personal Auto,Luxury SUV,253.740993
California,F,College,1939321.0,70503.0,164.0,1.0,Corporate Auto,SUV,41.05291
California,M,Bachelor,397413.0,0.0,117.0,0.0,Personal Auto,SUV,561.6
Oregon,M,Bachelor,410558.0,39492.0,105.0,0.0,Personal Auto,SUV,756.0
Arizona,M,College,230847.0,0.0,68.0,0.0,Corporate Auto,Four-Door Car,489.6
Arizona,M,Bachelor,537291.0,50405.0,70.0,1.0,Personal Auto,Four-Door Car,7.069583
Oregon,F,Doctor,550831.0,96021.0,68.0,0.0,Personal Auto,Two-Door Car,315.004602
Oregon,M,High School or Below,239833.0,0.0,65.0,0.0,Personal Auto,Two-Door Car,422.947888
California,M,High School or Below,372883.0,0.0,105.0,0.0,Personal Auto,Four-Door Car,756.0
Oregon,M,College,275849.0,65794.0,69.0,1.0,Personal Auto,Four-Door Car,277.27294
Oregon,M,Bachelor,370393.0,21975.0,95.0,0.0,Corporate Auto,Four-Door Car,456.0
California,M,High School or Below,937284.0,0.0,126.0,0.0,Personal Auto,SUV,604.8
Oregon,F,Bachelor,499158.0,56649.0,125.0,0.0,Special Auto,SUV,780.090361
Washington,F,Master,503986.0,35984.0,128.0,3.0,Personal Auto,SUV,275.577631
California,M,Bachelor,275997.0,92296.0,69.0,0.0,Corporate Auto,Two-Door Car,331.2
Oregon,F,Bachelor,799300.0,39448.0,103.0,3.0,Personal Auto,Four-Door Car,66.020788
California,F,Bachelor,523557.0,71794.0,131.0,0.0,Personal Auto,SUV,457.471225
California,F,High School or Below,263301.0,21861.0,69.0,0.0,Personal Auto,Four-Door Car,348.278032
Oregon,F,College,276480.0,31591.0,72.0,4.0,Corporate Auto,Four-Door Car,240.241499
Arizona,F,Bachelor,808484.0,60662.0,68.0,0.0,Special Auto,Two-Door Car,326.4
California,F,College,268517.0,20608.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
California,F,Master,1220812.0,21331.0,103.0,0.0,Personal Auto,SUV,419.062661
Arizona,F,College,2009043.0,0.0,66.0,1.0,Corporate Auto,Four-Door Car,252.149798
Washington,M,Master,513341.0,53390.0,6464.0,0.0,Personal Auto,Four-Door Car,278.999409
Oregon,M,Doctor,249131.0,36631.0,62.0,0.0,Corporate Auto,Four-Door Car,67.530904
California,M,High School or Below,631459.0,0.0,87.0,0.0,Personal Auto,Four-Door Car,417.6
Oregon,M,College,1622964.0,26030.0,139.0,1.0,Corporate Auto,Sports Car,667.2
Nevada,M,College,516178.0,0.0,70.0,0.0,Personal Auto,Four-Door Car,469.491537
Nevada,M,Bachelor,398226.0,0.0,113.0,0.0,Personal Auto,SUV,542.4
AZ,M,Bachelor,1347318.0,25302.0,70.0,1.0,Personal Auto,Four-Door Car,336.0
Washington,F,Master,277832.0,66030.0,69.0,1.0,Personal Auto,Four-Door Car,282.153792
Oregon,M,High School or Below,827644.0,0.0,82.0,0.0,Personal Auto,Four-Door Car,590.4
