zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
,,,182195.88762322016,37828.820291124,110.3912662799606,0.38371456714457697,,,430.5271400681818
